,timestamp-start,timestamp-end,user,message,filename
0,00:00:11.000,00:00:11.900,Carla Patricia Valdez Diaz,Buenas noches Profesor!,raw_data/presentchats/1_21_setiembre_2020.txt
1,00:00:31.000,00:00:31.900,Marco Antonio Del Rio Perez,Estudiar nomas,raw_data/presentchats/1_21_setiembre_2020.txt
2,00:00:48.000,00:00:48.900,Carla Patricia Valdez Diaz,jajaja sii,raw_data/presentchats/1_21_setiembre_2020.txt
3,00:00:51.000,00:00:51.900,Carla Patricia Valdez Diaz,ravioles,raw_data/presentchats/1_21_setiembre_2020.txt
4,00:00:57.000,00:00:57.900,Carla Patricia Valdez Diaz,fue mi cumple el domingo,raw_data/presentchats/1_21_setiembre_2020.txt
5,00:01:05.000,00:01:05.900,Carla Patricia Valdez Diaz,gracias!!,raw_data/presentchats/1_21_setiembre_2020.txt
6,00:01:09.000,00:01:09.900,Juan Manuel Calvo Rupay,feliz cumple!,raw_data/presentchats/1_21_setiembre_2020.txt
7,00:01:11.000,00:01:11.900,Dante Leonardo Zena Blascano,😮,raw_data/presentchats/1_21_setiembre_2020.txt
8,00:01:11.000,00:01:11.900,Andre Alberto Gamarra Grandez,Feliz cumple carlaa,raw_data/presentchats/1_21_setiembre_2020.txt
9,00:01:13.000,00:01:13.900,Dante Leonardo Zena Blascano,fc!,raw_data/presentchats/1_21_setiembre_2020.txt
10,00:01:13.000,00:01:13.900,Abril Yuliza Collantes Maturrano,🥳,raw_data/presentchats/1_21_setiembre_2020.txt
11,00:01:14.000,00:01:14.900,Giosue Melo Fung,Feliz cumpleaños Carla,raw_data/presentchats/1_21_setiembre_2020.txt
12,00:01:15.000,00:01:15.900,Alvaro Alberto Guevara Lazaro,Feliz cumple Carla,raw_data/presentchats/1_21_setiembre_2020.txt
13,00:01:15.000,00:01:15.900,Carlos Siles Alfaro,feliz cumple Carla,raw_data/presentchats/1_21_setiembre_2020.txt
14,00:01:15.000,00:01:15.900,Miguel Erick Llerena Malpartida,🥳,raw_data/presentchats/1_21_setiembre_2020.txt
15,00:01:23.000,00:01:23.900,Marco Antonio Del Rio Perez,feliz cumple!,raw_data/presentchats/1_21_setiembre_2020.txt
16,00:01:33.000,00:01:33.900,Carla Patricia Valdez Diaz,Graciasss chicosss,raw_data/presentchats/1_21_setiembre_2020.txt
17,00:01:46.000,00:01:46.900,Carlos Siles Alfaro,unas palabras,raw_data/presentchats/1_21_setiembre_2020.txt
18,00:01:47.000,00:01:47.900,Carla Patricia Valdez Diaz,sii,raw_data/presentchats/1_21_setiembre_2020.txt
19,00:01:48.000,00:01:48.900,Carla Patricia Valdez Diaz,jajaja,raw_data/presentchats/1_21_setiembre_2020.txt
20,00:01:59.000,00:01:59.900,Carla Patricia Valdez Diaz,wow graciasss jajaja,raw_data/presentchats/1_21_setiembre_2020.txt
21,00:02:16.000,00:02:16.900,Carla Patricia Valdez Diaz,👏 👏 👏,raw_data/presentchats/1_21_setiembre_2020.txt
22,00:02:30.000,00:02:30.900,Omar De Jesus Alegria Jimenez,Eso no se pregunta profe,raw_data/presentchats/1_21_setiembre_2020.txt
23,00:02:31.000,00:02:31.900,Carla Patricia Valdez Diaz,JAJAJJAJAAJJAJAJ,raw_data/presentchats/1_21_setiembre_2020.txt
24,00:02:36.000,00:02:36.900,Omar De Jesus Alegria Jimenez,que pasoo,raw_data/presentchats/1_21_setiembre_2020.txt
25,00:02:41.000,00:02:41.900,Carla Patricia Valdez Diaz,24,raw_data/presentchats/1_21_setiembre_2020.txt
26,00:02:45.000,00:02:45.900,Carla Patricia Valdez Diaz,jajajajajajajajaaj,raw_data/presentchats/1_21_setiembre_2020.txt
27,00:02:56.000,00:02:56.900,Omar De Jesus Alegria Jimenez,👏,raw_data/presentchats/1_21_setiembre_2020.txt
28,00:04:00.000,00:04:00.900,Carlos Siles Alfaro,cual era la pregunta?,raw_data/presentchats/1_21_setiembre_2020.txt
29,00:04:35.000,00:04:35.900,Dante Leonardo Zena Blascano,al menos nadie dijo 49,raw_data/presentchats/1_21_setiembre_2020.txt
30,00:05:16.000,00:05:16.900,Carlos Siles Alfaro,a partir de que edad es usted? jaja,raw_data/presentchats/1_21_setiembre_2020.txt
31,00:05:29.000,00:05:29.900,Abril Yuliza Collantes Maturrano,yo digo usted a mi jefe que tiene 30 xd,raw_data/presentchats/1_21_setiembre_2020.txt
32,00:05:35.000,00:05:35.900,Carlos Siles Alfaro,pelo blanco ya es usted,raw_data/presentchats/1_21_setiembre_2020.txt
33,00:05:49.000,00:05:49.900,Abril Yuliza Collantes Maturrano,1 año,raw_data/presentchats/1_21_setiembre_2020.txt
